Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
47000000,-2.341193386,-172.2348122,-68.17709048,43.96345269,-13.91858095,133.8552509,-40.10399315,152.2232375,
48000000,-2.39050202,-174.4754685,-66.77430771,-14.73321132,-13.96776441,130.3774389,-40.10436162,151.7479839,
49000000,-2.443234142,-176.2851974,-66.19038628,-15.17909,-14.12328688,127.8852386,-40.1562063,151.7140139,
50000000,-2.499620814,-178.1010865,-64.29808083,-22.82406411,-14.25183696,124.7070034,-40.20339173,151.0596525,
51000000,-2.550215398,179.9606873,-65.84482583,-23.11011333,-14.34309215,121.9931497,-40.20318371,150.6954918,
52000000,-2.610142604,178.6087735,-66.03547957,-23.13128232,-14.46850557,119.5598801,-40.23929174,150.3217009,
53000000,-2.739202557,176.7315481,-66.09869359,-27.57961322,-14.58378594,116.9524767,-40.2756138,149.579756,
54000000,-2.719806448,175.533836,-66.29447098,-30.23640833,-14.65219149,114.67727,-40.29468894,149.434605,
55000000,-2.741441161,173.9699048,-67.09894027,-30.08727945,-14.78851072,112.5526521,-40.32179442,149.0961898,
56000000,-2.892685698,173.2490238,-66.47661127,-34.35895819,-14.90356176,110.2532677,-40.37171308,148.6378414,
57000000,-2.925252496,171.2675629,-66.32974192,-30.38711423,-14.9925823,107.7981797,-40.35929935,148.2952727,
58000000,-3.006118085,170.0766852,-65.8291695,-38.12253478,-15.16047703,105.8284713,-40.41684651,148.0983986,
59000000,-3.11565236,169.018469,-66.30727076,-42.78743729,-15.24368307,103.6654535,-40.45303075,147.4815562,
60000000,-3.188544739,168.1910643,-65.56394103,-41.39922653,-15.3804362,101.3223523,-40.42770189,147.244739,
61000000,-3.24755535,167.1156618,-66.25122725,-40.66874247,-15.46606222,99.59154389,-40.46296752,146.6178813,
62000000,-3.13134349,171.6689314,-65.62895127,-48.23171235,-14.61653791,95.01774714,-39.91898492,148.093066,
63000000,-3.287557952,165.7206657,-63.89428985,-48.85861496,-15.63500331,96.36942614,-40.59022897,144.1146356,
64000000,-3.366363779,164.7783143,-67.03947936,36.79920482,-15.68553698,95.41813172,-40.52868148,145.5687631,
65000000,-3.390343353,163.3932499,-65.87543775,-50.91776321,-15.67754376,93.55261054,-40.59733725,144.6449653,
66000000,-3.355444694,162.8880462,-65.01176206,-58.56366669,-15.69359515,91.93276104,-40.65731518,144.4165033,
67000000,-3.333643507,161.9079339,-65.27045011,-58.52876271,-15.79208608,90.42045907,-40.76182234,144.0387088,
68000000,-3.372440009,160.7582331,-65.39880836,-59.83495363,-15.7994118,88.63279212,-40.70305378,143.5222162,
69000000,-3.410467867,159.6902301,-65.51589362,-62.80267414,-15.85690147,87.26220645,-40.72834127,143.3138979,
70000000,-3.393400259,158.8455826,-65.50912121,-62.34022121,-15.8996731,85.10098041,-40.85273949,142.8828133,
71000000,-3.392120472,157.8903243,-66.600177,-69.01495681,-15.93299534,83.45260948,-40.85985517,142.2436345,
72000000,-3.428519161,156.5049897,-65.48853685,-64.4027426,-15.94649043,82.00371422,-40.83960797,142.0206188,
73000000,-3.510612841,155.9053627,-65.61302516,-66.4666941,-15.99496448,80.50143991,-40.93509718,141.5443208,
74000000,-3.571533385,154.0785466,-65.8368838,-65.45956651,-16.04121829,78.61784472,-40.92436252,141.3825884,
75000000,-3.496411044,153.3141905,-66.11536682,-69.32566375,-16.07083484,76.97558961,-40.97256481,141.2124116,
76000000,-3.586887825,152.0903689,-66.9481802,-32.63360369,-16.12949227,75.35672694,-41.01258062,140.9355147,
77000000,-3.518040189,151.313661,-65.97483369,-72.37657869,-16.14957047,73.93387216,-40.97857156,140.1632703,
78000000,-3.512963569,151.0366457,-65.42624511,-75.72291411,-16.22982627,72.52256888,-41.07316204,140.2433672,
79000000,-3.557341886,149.3883245,-65.71307095,-77.82390861,-16.23759936,70.67566397,-41.10652898,140.0061307,
80000000,-3.555108722,148.7851686,-65.44856747,-81.62634471,-16.24121863,68.69237489,-41.15000396,139.7997849,
81000000,-3.567040462,147.3060824,-65.07454099,-83.03722794,-16.26752874,67.63155367,-41.16781773,139.3221839,
82000000,-3.552241595,146.4760588,-65.73681877,-171.3586903,-16.36294267,66.20422039,-41.19003042,139.1813506,
83000000,-3.599098754,145.4837187,-66.05757267,-85.03377767,-16.33874246,64.30555911,-41.20887856,138.8188815,
84000000,-3.653649643,144.3264072,-65.67565981,-89.44968049,-16.35496022,62.88868968,-41.28094411,138.4293813,
85000000,-3.623537499,144.0011964,-66.38898229,-91.58393,-16.41834012,61.33617998,-41.29874026,138.0999669,
86000000,-3.623891492,142.2833236,-65.83212763,-90.1442079,-16.44369168,59.99936122,-41.32522367,137.8290821,
87000000,-3.544823132,143.2252323,-65.67695383,-93.00885326,-16.42729156,58.18341099,-41.34459816,137.6321963,
88000000,-3.621970876,141.9553703,-65.51964859,-95.02400385,-16.49011004,57.02137042,-41.37984147,137.3680017,
89000000,-3.593160368,140.2929207,-66.13019473,-94.61772317,-16.5785667,55.28138204,-41.38946228,136.8978994,
90000000,-3.585611634,139.6123705,-66.30006797,-97.84344404,-16.57121796,53.50587562,-41.43180976,136.9637131,
91000000,-3.572819616,139.2561989,-66.02270138,-100.3176239,-16.5814886,52.36477366,-41.50810488,136.4515527,
92000000,-3.734628415,136.97434,-65.63015407,-100.5561247,-16.74636255,50.51867143,-41.4472345,136.7721854,
93000000,-3.625321003,136.3721208,-65.27177101,-98.83914152,-16.64868852,48.96066442,-41.36637808,136.1809869,
