Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
18000000,-5.28790091,-120.8298085,-75.83909372,99.37343831,-18.88805703,-117.1170986,-39.53837272,166.2678912,
19000000,-5.153772194,-124.1053845,-72.55282325,81.67369313,-18.4562893,-122.8823545,-39.55069598,165.4158544,
20000000,-5.023765832,-125.8023182,-71.88493007,83.17316842,-18.05573466,-127.7720766,-39.55150198,164.8523801,
21000000,-4.931147962,-128.3608179,-72.56822383,70.85645289,-17.69614027,-132.8464552,-39.56975976,164.0804845,
22000000,-4.818763622,-130.1385608,-73.63999404,81.71765138,-17.31695561,-137.6018874,-39.61492527,163.5648315,
23000000,-4.741088836,-131.9154149,-70.28830942,70.13713832,-16.95679331,-142.2143268,-39.65207271,162.5045009,
24000000,-4.582245349,-133.796509,-72.02047503,34.84497401,-16.60970376,-146.8512856,-39.68414509,162.1555398,
25000000,-4.94956504,-131.0874854,-68.74867594,71.83955437,-15.15287181,-145.5643845,-39.59965324,162.4420322,
26000000,-4.624755317,-133.1189123,-68.89067086,56.54504575,-14.88086103,-150.8476959,-39.63929728,161.7558873,
27000000,-4.418679428,-134.9024939,-69.3400392,48.051763,-14.70136759,-156.0309509,-39.67674088,160.9917573,
28000000,-4.060437449,-138.0601769,-68.33607672,47.87028014,-14.50727111,-161.629082,-39.72459264,160.3169247,
29000000,-3.847200076,-141.2269362,-64.05339483,57.22132552,-14.47208831,-167.0650029,-39.78823099,159.8852516,
30000000,-3.845624793,-145.1227871,-66.78801796,37.99991186,-14.45771482,-172.3138627,-39.81788144,158.1054694,
31000000,-2.092391709,-147.6249999,-68.84519855,39.71295669,-13.4258787,179.6801772,-43.3238696,155.2602811,
32000000,-3.617584086,-148.6574858,-68.48557645,30.51283783,-14.24873364,179.2813018,-39.92662432,158.0444789,
33000000,-3.666367485,-151.6975208,-68.37425821,33.77484877,-14.26406985,175.4600304,-39.93350283,157.4281615,
34000000,-3.775580828,-152.1315747,-68.73448789,23.85730045,-14.24842178,172.6725898,-39.93961029,156.9911078,
35000000,-3.798337072,-153.6197052,-66.978392,23.13159886,-14.25452545,169.6995996,-39.95001151,157.1408399,
36000000,-3.745172393,-153.6448191,-67.8395904,21.93986411,-14.12084134,166.9776255,-39.9965947,156.7380674,
37000000,-3.657135819,-154.2536419,-68.02779533,15.51537588,-14.09521586,163.822929,-39.99075254,156.5275223,
38000000,-3.354465769,-155.1601365,-67.27298564,6.191375117,-13.93599293,161.3271788,-40.00325282,155.9035478,
39000000,-3.113095167,-156.1244477,-66.86109485,6.724005905,-13.84109386,157.9672744,-40.03358714,155.6229587,
40000000,-2.917403326,-157.4105016,-67.45760887,8.150295118,-13.83619313,154.7738907,-40.03958502,155.2033619,
41000000,-2.615778402,-158.8775285,-66.87006696,-8.914503114,-13.75867969,151.5961339,-40.03539921,154.8387195,
42000000,-2.537214482,-161.3441066,-65.55342039,-2.79353438,-13.74621387,147.7064102,-40.12068552,154.5190228,
43000000,-2.316588758,-163.0547393,-64.99269792,92.81214506,-13.66947539,144.5484483,-40.14385106,153.8817573,
44000000,-2.256273015,-165.3167839,-66.70817726,-7.985973578,-13.71659313,141.1088084,-40.16550985,153.6396792,
45000000,-2.156914046,-168.174931,-66.90125842,-8.972559344,-13.75501408,137.3503156,-40.16439272,152.9119145,
46000000,-2.120414571,-170.3896451,-68.74153082,-8.417154881,-13.81355249,134.1639128,-40.24587626,152.5769361,
47000000,-2.101637218,-172.2201747,-64.75325535,-12.13075003,-13.85859903,130.9204637,-40.23561963,152.4305487,
48000000,-2.165997737,-174.5111685,-65.97447657,-16.48161223,-13.93274999,127.493392,-40.25381573,151.5974935,
49000000,-2.216631075,-176.3223698,-66.50805974,-13.82006822,-14.07176563,124.9831824,-40.30461554,151.8599745,
50000000,-2.280885865,-178.0486869,-67.49483437,-12.27584668,-14.21072983,121.8576045,-40.3538125,151.1638412,
51000000,-2.346172759,-179.7770915,-66.61300441,-26.59061043,-14.30344104,119.0849191,-40.33133234,150.8158402,
52000000,-2.437542578,178.8443796,-66.48042916,-26.56846737,-14.43618992,116.596756,-40.38487689,150.5083382,
53000000,-2.541473008,177.0894837,-66.22154048,-28.38754219,-14.53307757,114.0109281,-40.43117585,149.8232997,
54000000,-2.518189576,175.7990992,-65.7582088,-30.65777155,-14.61495434,111.74149,-40.43052096,149.7350358,
55000000,-2.56738943,174.3240336,-62.97127507,-29.33388248,-14.75434198,109.5868941,-40.4562161,149.3980409,
56000000,-2.717283778,173.506563,-66.46461295,-36.38762292,-14.85525027,107.2149721,-40.51634256,148.7773619,
57000000,-2.744081168,171.6330138,-65.58174584,-36.63762846,-14.93717326,104.8330292,-40.49537248,148.382848,
58000000,-2.862666281,170.5691985,-66.3418643,-42.52670627,-15.10744852,102.8481414,-40.50600722,148.2188949,
59000000,-2.969243585,169.6167607,-66.426026,-39.50810267,-15.1844914,100.6057281,-40.60088385,147.6672366,
60000000,-2.973844898,168.8292941,-65.46789921,-46.47928954,-15.32216477,98.83899419,-40.82001895,148.188603,
61000000,-3.138245529,167.956239,-66.67952031,-45.82656912,-15.46086155,96.65590278,-40.629704,147.8422705,
62000000,-2.404665249,167.2731813,-65.01751199,-42.16269094,-14.70270935,94.63283355,-37.18809605,130.0417192,
63000000,-3.15551612,166.4938656,-59.64892518,-157.2440321,-15.60167643,93.35181003,-40.81443451,145.1259405,
64000000,-3.163312636,165.4992873,-65.00946118,-58.75580808,-15.60109182,92.2203399,-40.78548712,146.054112,
65000000,-3.204696831,164.4024417,-65.97141456,-54.96549375,-15.60893993,90.30424881,-40.75004534,144.9838189,
66000000,-3.183434487,163.449184,-69.07202353,-71.07953639,-15.62351567,88.65516405,-40.80823587,144.8447413,
67000000,-3.16273043,162.8510528,-67.09205089,-20.15736069,-15.72069551,87.12011745,-40.91981439,144.4155068,
68000000,-3.188876822,161.5436204,-66.06128677,-65.77705458,-15.7236493,85.34254584,-40.89088625,143.8997589,
69000000,-3.227316187,160.5133018,-66.08692083,-63.61995951,-15.7708455,83.90500991,-40.92588621,143.7463469,
70000000,-3.249796833,159.4961975,-65.9664228,-65.956575,-15.81543449,81.77766714,-41.01307395,143.1675565,
71000000,-3.235533068,158.6615836,-65.92303644,-68.02305887,-15.84787925,80.01852837,-41.02112242,142.8469967,
72000000,-3.27513466,157.3457064,-66.30243163,-70.06450382,-15.84707713,78.56088361,-41.05129289,142.3397899,
73000000,-3.301832188,156.3843887,-65.10460342,-76.71926088,-15.90766359,76.91493601,-41.11713516,142.1199657,
74000000,-3.435006881,155.4540759,-65.77521422,-72.22925098,-15.92109229,74.99732797,-41.13231243,141.9288633,
75000000,-3.340867207,154.2999334,-66.2736495,-74.40864201,-15.95498779,73.40678888,-41.1747902,141.5294079,
76000000,-3.464539778,152.5657695,-66.16520966,-70.53168253,-16.0297562,71.7279885,-41.23782891,141.4744805,
77000000,-3.380040487,152.646793,-66.41971037,-79.83480235,-16.0362189,70.1116731,-41.18851029,141.0831764,
78000000,-3.393792085,152.0341526,-66.06855422,-79.59138593,-16.12374872,68.85870634,-41.24274842,140.6544967,
79000000,-3.421175666,150.4197007,-65.99092362,-80.38024267,-16.11698353,66.84492688,-41.34292394,140.6048236,
80000000,-3.424021706,149.6809637,-66.20690022,-84.08302933,-16.11985389,64.91026797,-41.38263035,140.4490485,
81000000,-3.443555031,148.4496823,-70.94050467,-100.4722024,-16.16532701,63.7709125,-41.33950349,140.1169346,
82000000,-3.435194787,147.6207926,-63.06538664,-97.04795418,-16.23411261,62.23230382,-41.42417879,139.846567,
83000000,-3.477635867,146.675713,-66.07124477,-86.94104387,-16.18969144,60.3005426,-41.44228925,139.5466698,
84000000,-3.542559343,145.5997799,-65.68565138,-89.20112852,-16.23175813,58.99499911,-41.47741164,139.0054621,
85000000,-3.509717934,144.8349371,-65.8397987,-90.3078879,-16.30772827,57.26566118,-41.49117617,138.9896395,
86000000,-3.520376142,143.6447007,-66.4402713,-95.78086865,-16.30863614,55.76769731,-41.55284712,138.9055007,
87000000,-3.433839567,144.3102429,-66.08861201,-99.90675052,-16.28802071,54.15362546,-41.57634255,138.5201004,
88000000,-3.529199196,143.1910501,-65.77290432,-99.41866943,-16.36772193,52.86315926,-41.59697818,138.2210103,
89000000,-3.524950798,141.5222939,-66.0288114,-100.2237841,-16.44265038,51.00792959,-41.61003065,137.9905484,
90000000,-3.517994935,140.9102297,-65.88423116,-100.6382554,-16.4221844,49.28121474,-41.69159224,137.8186401,
91000000,-3.516818179,140.3565823,-66.12421031,-102.6301859,-16.48339858,48.10102263,-41.66423318,137.1467016,
92000000,-3.677041046,138.7848136,-58.72611163,-99.53894602,-16.55685215,46.26160878,-41.75843918,137.7684614,
93000000,-3.351105135,137.349418,-65.81281311,-106.8668792,-16.42970504,44.46616538,-42.094768,138.5680373,
94000000,-3.637393983,137.0206551,-65.8264899,-109.1093153,-16.58061837,43.32463233,-41.78553824,137.1711097,
95000000,-3.627592072,136.6377603,-66.10342417,-114.9736878,-16.62191299,41.70429895,-41.81599106,136.4363968,
96000000,-3.706310309,135.6797366,-66.46821186,-110.867478,-16.65478596,40.26208831,-41.80413891,136.0272134,
97000000,-3.711866577,135.2336789,-65.87101311,-112.4742996,-16.67075985,38.67018301,-41.83542858,136.1431518,
98000000,-3.71928537,134.2733352,-65.94636214,-112.4061355,-16.74958431,37.32412363,-41.89114088,136.1366055,
99000000,-3.63882909,134.3043543,-66.30046922,-116.1343702,-16.75137631,35.66954776,-41.8948044,135.7865809,
100000000,-3.717857124,132.2306233,-65.48606888,-116.959486,-16.84440969,34.05979993,-41.92723786,135.6916438,
101000000,-3.715137149,131.353272,-65.29504374,-121.2775922,-16.81978107,32.45733966,-41.99462739,135.2511652,
102000000,-3.803385093,131.4150794,-66.15325444,-121.9470384,-16.85874799,31.46172855,-41.96070537,134.9023579,
103000000,-3.824400317,130.2812583,-65.53930721,-123.2673679,-16.87472015,29.11608934,-42.01255582,135.5418181,
104000000,-3.855801099,130.4944132,-66.39583092,-127.4791793,-16.97049715,28.20575851,-42.13209279,134.5405929,
105000000,-3.891587655,127.9420943,-66.0256963,-125.8491822,-17.06668883,26.55812621,-42.02113289,134.4264567,
106000000,-3.833790993,127.6874266,-66.85055824,-133.9999573,-17.06885451,24.67466722,-42.09897014,134.6671996,
107000000,-3.873081642,127.1665958,-66.49629568,-130.7648375,-17.06547272,23.50904845,-42.14436648,134.0570381,
108000000,-3.694213875,126.3315548,-65.67444637,-132.3517887,-17.19191258,21.91603302,-42.13205777,133.6580131,
109000000,-3.892207945,125.1705373,-66.22205357,-132.1424395,-17.18357924,20.37645621,-42.15038127,134.0404557,
110000000,-3.951287539,124.8435973,-62.5664852,-60.41023915,-17.26882026,19.13520244,-42.23769287,133.6961463,
111000000,-3.801194459,123.4504343,-65.4068099,-133.9296583,-17.30395416,17.46402601,-42.24363638,133.3896923,
112000000,-3.873225681,123.2233621,-66.2473502,-139.1807471,-17.38134934,15.8846625,-42.18614544,133.1773265,
113000000,-3.811708244,123.4950103,-65.83438237,-141.2532687,-17.44585376,14.23603658,-42.19730393,132.9514174,
114000000,-3.848143914,121.8907569,-66.41637225,-141.2096332,-17.41983431,13.38650139,-42.27848731,133.3297111,
115000000,-3.827856445,121.2652765,-66.35805622,-142.4618834,-17.49729635,11.8692049,-42.29984376,132.7187403,
116000000,-3.815932272,120.3236224,-67.53471976,-147.6197589,-17.53305393,10.50078794,-42.30671575,132.3802355,
117000000,-3.810307386,119.4870751,-66.46509615,-144.0862838,-17.53543247,8.475630219,-42.31584584,132.4456419,
118000000,-3.889146319,120.3425848,-66.32121086,-144.0821497,-17.66846414,7.748474193,-42.31442854,131.7473097,
119000000,-3.750333671,118.157963,-66.11286909,-151.6758677,-17.72098002,6.326728038,-42.34176694,131.5720475,
120000000,-3.797033405,116.3538767,-67.93926238,-154.8087262,-17.78505031,4.704335772,-42.41481407,131.8115752,
121000000,-3.77282541,116.3100144,-66.39571499,-151.5782818,-17.87130252,3.620896976,-42.29508136,131.4878196,
122000000,-3.752585378,115.1960446,-66.61903102,-151.4971895,-17.845256,2.337541836,-42.35056392,131.5238683,
123000000,-3.254238632,113.2557197,-68.40248073,-160.5460475,-17.79240644,0.505933017,-42.72570194,131.3546229,
124000000,-4.296229444,109.4169617,-66.1203527,-157.763228,-18.29384232,-3.492002676,-43.56439053,128.1400754,
125000000,-3.777550403,111.9924379,-66.63601527,-156.3318105,-17.99953532,-1.393463933,-42.49574381,130.4227628,
126000000,-3.91121135,111.5703301,-66.58470978,-158.2067221,-18.0513155,-2.749657024,-42.28244934,130.5633271,
127000000,-3.783145818,110.5683402,-66.82162452,-159.9415117,-18.06880271,-4.07542246,-42.54797846,131.2329136,
128000000,-3.695472409,109.873449,-66.81112392,-161.8097053,-18.11092243,-5.359755181,-42.42186718,130.0658772,
129000000,-3.6697522,109.4443612,-66.77838838,-162.623961,-18.12227343,-6.856776213,-42.43976043,129.8612178,
130000000,-3.753839583,108.2206473,-67.02856404,-166.5942346,-18.13716718,-8.039866408,-42.43874265,129.9995047,
131000000,-3.760826857,107.3989539,-66.97157291,-164.7239141,-18.16392369,-9.228129203,-42.55295905,130.158904,
132000000,-3.664897501,105.6954918,-66.04207259,-166.5355151,-18.13218946,-10.46980089,-42.46081497,129.938774,
133000000,-3.717304711,106.1932831,-64.98683906,-175.623752,-18.17448788,-11.68534319,-42.48752856,129.3093694,
134000000,-3.803670796,105.1156998,-66.02993702,-169.6738373,-18.12567913,-13.14400033,-42.51098564,129.5386764,
135000000,-3.779234421,106.5895441,-66.94940172,-171.7791484,-18.27601192,-14.3059224,-42.52527428,129.1144144,
136000000,-3.644545784,103.9248691,-66.6340279,-170.539996,-18.27319458,-15.53200861,-42.4970348,128.9251636,
137000000,-3.794209249,102.6281729,-66.44762822,-177.3861972,-18.33046501,-16.88004545,-42.52051704,128.518131,
138000000,-3.734001913,102.2677977,-66.45648149,-175.2091861,-18.3169103,-18.1204936,-42.52288098,128.8253288,
139000000,-3.819508774,101.7141603,-65.87225151,-178.5179553,-18.33445482,-19.16586028,-42.5058543,128.4364162,
140000000,-3.835632298,101.0484457,-65.83429735,-178.5207346,-18.35198778,-20.38354709,-42.46392311,128.091484,
141000000,-3.683286952,100.1310174,-66.71894363,176.0168995,-18.31589348,-21.46555857,-42.4395295,128.2435381,
142000000,-3.813877536,99.65445263,-65.97115471,-179.5009044,-18.3611967,-22.88078332,-42.44420239,128.1208514,
143000000,-3.829634263,99.72638472,-66.52932212,175.2691941,-18.42540706,-23.99840466,-42.43849683,127.7321667,
144000000,-3.562072115,98.94015158,-66.39484383,173.5097082,-18.29767913,-25.20916625,-42.49066611,127.7936752,
145000000,-3.738711062,98.42404238,-66.97540091,173.0967741,-18.38376279,-26.48019805,-42.45905472,127.5315128,
146000000,-3.892627592,97.83253105,-66.10901658,176.5292571,-18.43788385,-27.84190374,-42.43850914,126.9645265,
147000000,-3.87279341,97.29416802,-66.62219747,170.9452683,-18.45531535,-28.97466859,-42.46479272,126.8214733,
148000000,-3.903396245,96.84458867,-65.75601038,168.959264,-18.48567417,-30.00311545,-42.4258371,126.4172784,
149000000,-4.129322342,96.51880059,-66.60331743,163.1670668,-18.55628439,-31.04886924,-42.40515599,126.6631289,
150000000,-3.963077319,96.25026813,-64.9022443,168.9475693,-18.47340934,-32.05607546,-42.38430906,126.250113,
151000000,-4.138396472,94.86743165,-66.48064432,163.5490911,-18.60127861,-33.29865646,-42.41828784,126.4195592,
152000000,-4.038134057,93.8249682,-66.86455999,160.0380475,-18.55886091,-34.30490366,-42.38619842,125.5074286,
153000000,-4.183763801,94.00932473,-66.76312946,157.913858,-18.64054294,-35.38244451,-42.42330328,126.8706223,
154000000,-4.203006918,93.80468546,-66.28574528,157.9764054,-18.63267611,-36.46605131,-42.53281447,126.8132146,
155000000,-4.394722411,94.9090436,-67.55236516,155.3833473,-18.65904982,-38.25480124,-42.44364791,126.0590426,
156000000,-4.340327893,92.20232353,-67.65485919,154.3526093,-18.70718098,-38.69859033,-42.25348553,124.5098736,
157000000,-4.22134784,93.04888091,-66.63868281,153.5630573,-18.65520147,-39.61919631,-42.43865955,125.0906952,
158000000,-4.491276522,92.04061658,-67.18465792,151.4530914,-18.74950143,-40.8707703,-42.21748277,126.1273197,
159000000,-4.439388029,91.88184362,-67.07563012,149.806954,-18.67561846,-41.94635414,-42.29234709,124.5916628,
160000000,-4.584906661,92.39907145,-66.83271727,150.4044217,-18.72036077,-42.92535937,-42.25458142,124.1727272,
161000000,-4.562838549,90.84954644,-67.26177477,145.6595035,-18.72135114,-44.77633571,-42.27845954,124.1580037,
162000000,-4.511384055,91.45289933,-69.04484112,67.83879331,-18.6893985,-45.85941755,-42.3097357,123.6788874,
163000000,-4.501890546,89.75847521,-67.98645685,137.4546985,-18.63902849,-47.18686549,-42.26404793,123.4841197,
164000000,-4.486320562,90.25027331,-67.04946939,143.71444,-18.6954902,-48.48562284,-42.22957976,123.0414833,
165000000,-4.573437567,89.43386233,-65.76400389,142.1804276,-18.69209138,-50.15504607,-42.21236334,122.6701767,
166000000,-4.68586596,88.90687792,-67.06673235,138.9144667,-18.71641077,-51.36350155,-42.13877954,122.4301977,
167000000,-4.989252955,86.58319057,-66.96349541,140.5151166,-18.79067251,-53.74578659,-42.20546859,122.3269223,
168000000,-4.730268624,87.63469956,-67.71514836,149.659501,-18.69839758,-54.19800402,-42.12230969,121.6887167,
169000000,-4.793406742,87.47276701,-66.47396058,135.1674822,-18.71951575,-55.601031,-42.15235204,121.1177877,
170000000,-4.772465463,86.66154426,-66.55606107,135.9628302,-18.69472095,-57.12063658,-42.18823079,120.9264972,
171000000,-4.821301972,86.25664658,-68.46543648,127.164986,-18.70520614,-58.61704299,-42.12286717,119.8559554,
172000000,-4.881230175,86.04398447,-67.06507845,128.0608346,-18.70986299,-59.83275531,-42.09242437,119.5745637,
173000000,-4.86656817,85.77770266,-66.09066648,130.5985855,-18.87052688,-61.36093933,-42.05960865,120.3034248,
174000000,-4.913482646,85.09333006,-66.75750629,129.5978689,-18.6736418,-62.87334367,-42.05581755,119.1358454,
175000000,-5.015515461,83.26696009,-67.057161,123.2459233,-18.80466372,-64.28195278,-42.00047029,118.6734283,
176000000,-4.985576246,83.54873481,-67.12642304,122.0030684,-18.69731148,-65.79443394,-42.05860038,118.5773,
177000000,-5.106434287,83.4637354,-66.93209662,120.9242791,-18.75339428,-66.91241415,-41.9715029,117.6294566,
178000000,-5.078216466,82.61714096,-67.2111478,119.8117189,-18.75958421,-68.35308234,-41.93464973,117.5838328,
179000000,-5.032679296,82.11084832,-71.48802346,-161.798795,-18.73250784,-69.83643986,-41.94391912,117.4099517,
180000000,-4.99407872,80.68414918,-67.53951266,119.4539408,-18.66242993,-70.67632551,-41.92121312,116.6641846,
181000000,-5.282141045,82.47965502,-67.59191782,107.3151601,-18.75374287,-72.7622892,-41.83607743,116.488151,
182000000,-5.284786713,80.10265287,-67.14128348,113.2522648,-18.7897389,-73.96140171,-41.867011,116.0066554,
183000000,-5.277693531,80.64884735,-67.25846626,113.3876297,-18.74745677,-75.00511312,-41.8453198,115.8096014,
184000000,-5.107174599,80.87326268,-67.34763817,110.4208007,-18.68857604,-76.28750511,-41.78009428,115.1887244,
185000000,-5.33665653,80.35431059,-67.76578469,107.9530472,-18.75187407,-77.04053724,-41.71295301,115.1676624,
186000000,-5.494642462,80.64389907,-67.76165762,107.906563,-18.80953448,-78.44760387,-41.76878872,117.2164472,
187000000,-5.471262789,79.47105225,-67.72685563,103.7479068,-18.75885927,-80.36065422,-41.76722445,114.1650417,
188000000,-5.750467034,80.49691447,-67.95554889,107.6561963,-18.77862596,-81.36025366,-41.72960454,113.5849417,
189000000,-5.545514249,79.04070588,-67.80394651,105.6011042,-18.74997082,-82.71605455,-41.69018643,113.1246196,
190000000,-5.611461609,79.09435715,-59.55570533,-83.1397707,-18.74735507,-84.13591495,-41.62410862,113.2680477,
191000000,-5.586363033,77.85893466,-67.8841283,99.97615587,-18.69998264,-85.40572888,-41.6974246,111.7200701,
192000000,-5.594227334,78.51234922,-68.14424853,94.84297387,-18.73911078,-86.80374036,-41.5681397,111.7427494,
193000000,-5.656722443,77.67710438,-67.93560705,92.93654692,-18.75687665,-88.20633983,-41.63495013,111.173631,
194000000,-5.624083406,77.58200869,-67.79070118,93.61330511,-18.70689212,-89.43822486,-41.62157018,111.1117814,
195000000,-5.744494832,76.83535307,-67.49264415,91.53309427,-18.7344763,-90.79343397,-41.57033093,110.6972738,
196000000,-5.727813631,74.15709876,-66.74829349,91.88678927,-18.73270038,-92.07588505,-41.52554106,110.1387666,
197000000,-5.79923623,75.74653397,-67.8490759,88.83302825,-18.80555437,-93.36625517,-41.47868759,109.8918122,
198000000,-5.891808084,75.83370372,-68.18841049,88.68518367,-18.73031077,-94.68652523,-41.52045491,109.0300661,
199000000,-5.933216906,75.71982678,-67.77342889,89.22813403,-18.76595773,-95.75811999,-41.41653134,108.7446997,
200000000,-5.86536847,75.65555376,-67.81092274,81.45459639,-18.73675446,-97.14973094,-41.40525982,108.5593187,
201000000,-5.986924845,75.39913014,-67.59035361,83.97727832,-18.76040387,-98.42241454,-41.34939458,107.8768608,
202000000,-6.085742464,75.16964785,-68.54957226,81.20346932,-18.79430969,-99.71998308,-41.37927355,107.6020621,
203000000,-6.02266123,74.76215875,-68.95966321,78.73352548,-18.7355776,-101.0477907,-41.33481565,106.8264138,
204000000,-6.077582248,74.584695,-68.3542209,77.61424906,-18.76136306,-102.105438,-41.32768895,106.4796979,
205000000,-5.712286924,75.06392608,-67.47254556,75.4774478,-18.62370193,-103.1557742,-41.29754606,106.2119966,
206000000,-6.084139625,72.91844238,-68.86385028,74.06019085,-18.85613981,-105.1495998,-41.25728069,105.695481,
207000000,-6.185773789,73.94197839,-84.96011287,63.69619191,-18.74305912,-106.3123393,-41.25494493,105.1305362,
208000000,-6.147205268,73.38745505,-69.06020054,69.11387694,-18.73924111,-107.4779503,-41.18691897,104.6571547,
209000000,-6.090228943,74.01519116,-68.55202588,74.19371165,-18.74461691,-108.6609945,-41.16289649,104.5695492,
210000000,-6.23729655,73.08151084,-68.65945002,68.59875642,-18.76470686,-110.1160329,-41.15655397,103.5552295,
211000000,-6.244673692,72.56607751,-68.67331279,63.46083456,-18.71943475,-111.1701333,-41.13295459,103.6232431,
212000000,-6.280267566,72.21260717,-68.37455476,65.66841657,-18.77072128,-112.4046525,-41.13211755,102.8800281,
213000000,-6.242960379,73.46215114,-68.91305475,59.21658716,-18.62374139,-113.4219401,-41.08443483,102.7650522,
214000000,-6.178626755,70.44574063,-68.80354138,59.76922396,-18.72814296,-115.1911645,-41.06426571,101.945296,
215000000,-6.280801314,71.73217202,-68.75721546,61.40734856,-18.70567038,-116.4989782,-40.99728815,101.5139311,
216000000,-6.251997657,71.11364061,-69.4888487,55.56189303,-18.69202575,-117.546101,-40.99966702,101.3179995,
217000000,-6.312402152,71.23952086,-68.78772599,55.68229836,-18.70858991,-118.8599841,-40.95738974,101.0078529,
218000000,-6.114437568,72.0503378,-69.26294403,54.43025656,-18.61138968,-119.9918488,-40.91957178,100.2359517,
219000000,-6.355746284,70.77667485,-69.87559379,52.06955727,-18.73051752,-121.3175889,-40.93571915,99.57923952,
220000000,-6.267346581,71.096169,-69.51560626,47.22601009,-18.65091016,-122.5448964,-40.92089996,99.3658803,
221000000,-6.266013786,70.80223743,-69.88277292,56.42701602,-18.64397757,-123.8194043,-40.8381707,98.82829144,
222000000,-6.35412552,71.16049812,-69.46537177,45.75195749,-18.62529337,-124.1566129,-40.83141734,98.69990323,
223000000,-6.249161877,70.60988248,-69.82258815,49.46964172,-18.61722404,-125.9540992,-40.79300026,97.80086447,
224000000,-6.332153964,70.21530521,-61.78928474,26.27513641,-18.62765783,-127.3400626,-40.74391044,97.62725109,
225000000,-6.30136672,70.0895924,-70.20197862,45.59507296,-18.61803382,-128.7971704,-40.77893589,97.34295138,
226000000,-6.357054181,69.6050471,-75.47456458,138.8813514,-18.59419472,-129.7533179,-40.7012957,96.84451863,
227000000,-6.300797385,69.27159607,-70.16441256,40.26013794,-18.50386236,-131.2535548,-40.71999408,96.49099987,
228000000,-6.250912428,69.73544014,-70.30302401,35.20233428,-18.52005669,-132.2849242,-40.69480001,95.64119113,
229000000,-6.282587962,70.12512475,-70.81767192,36.03229288,-18.61172134,-133.5500211,-40.6511717,95.20292687,
230000000,-6.279315445,68.59176195,-69.2066546,44.75262806,-18.54136964,-134.9866081,-40.63845271,94.93910995,
231000000,-6.18122865,68.49618428,-65.67128819,11.58025501,-18.51214684,-136.114291,-40.57577303,94.52823955,
232000000,-6.185932701,68.34365533,-70.77272253,38.51088509,-18.48966997,-137.3506977,-40.59781404,94.26145101,
233000000,-5.969982801,66.1050364,-68.746973,-35.58861305,-18.47650864,-138.852025,-40.55742501,93.64804577,
234000000,-6.226797382,67.23725906,-71.59290215,31.20981938,-18.44736356,-140.2265031,-40.53374426,93.45175526,
235000000,-6.113400128,67.46842438,-69.72318242,18.20055829,-18.41328203,-141.0634816,-40.51220446,92.96731058,
236000000,-6.061011471,67.46211864,-71.4822837,27.35125244,-18.38620918,-142.0155901,-40.49147107,92.48551173,
237000000,-6.075530119,66.80029623,-69.8823824,23.68289537,-18.36134975,-143.2114891,-40.4588802,92.09162964,
238000000,-5.967333168,66.69152925,-71.52368886,15.79891469,-18.35546067,-144.8742014,-40.43513273,91.62133295,
239000000,-5.894644095,66.23638672,-71.4773749,19.60951458,-18.29894688,-145.8705286,-40.39588941,91.40879864,
