Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
1000000,0.6699859296,-15.08494779,-54.6899546,0.7415098965,-72.49282665,103.0550472,-40.76821098,176.6017352,
2000000,0.3740057857,-29.66592833,-62.76836054,45.87492804,-57.34049243,51.11115359,-40.58036343,177.9275471,
3000000,-0.1894916206,-43.03612473,-74.60386081,-165.6622927,-47.44001905,24.77767357,-40.53392054,178.1689442,
4000000,-0.9379592271,-54.21491061,-74.20164248,78.73199749,-41.16975125,7.473733761,-40.35382007,178.559327,
5000000,-1.748008079,-64.22626074,-79.89791567,105.102182,-36.80932913,-6.653228365,-40.15472067,178.2700708,
6000000,-2.626526675,-72.24632227,-77.13759784,139.0529146,-33.53547204,-19.49682894,-40.06182078,177.8650772,
7000000,-3.396874033,-79.84216737,-79.4668717,120.0410762,-30.94408691,-31.11604461,-39.8928761,177.1228165,
8000000,-3.990358043,-86.66740351,-81.64036841,107.0736116,-28.82091827,-41.14765093,-39.74589218,176.1303982,
9000000,-4.515578905,-91.97323405,-81.75463163,147.2943493,-27.08064273,-50.55815486,-39.66379612,175.3209971,
10000000,-4.9197961,-96.86263734,-81.05075618,158.0352576,-25.67151452,-59.90601783,-39.64718856,174.3052754,
11000000,-5.246619259,-101.7184358,-82.81294454,127.2619039,-24.42641802,-68.00112219,-39.59932842,173.1156984,
12000000,-5.405927302,-105.9389082,-75.92803433,131.0807149,-23.24071919,-75.35362998,-39.56777025,172.0223617,
13000000,-5.615171799,-108.8242821,-64.50574286,137.7727127,-22.21240757,-82.34617476,-39.49560612,171.0758713,
14000000,-5.671005029,-111.5461198,-77.60471993,107.8727209,-21.28386042,-89.83039414,-39.49788932,169.9025172,
15000000,-5.667307058,-113.9285883,-75.57444584,108.3073798,-20.51342213,-97.37834071,-39.49984841,168.9855229,
16000000,-5.569546287,-116.1392858,-74.16829636,109.7868809,-19.87033956,-104.4131538,-39.53462151,167.896117,
17000000,-5.473297709,-118.287842,-75.3824175,92.12435099,-19.34966418,-111.0766748,-39.50014328,167.1676426,
